,momentum_120_20,momentum_60_10,vol_fade_60d,gk_vol_level_5d,volume_shock_neg,oi_trend_5d,ret_skew_60d,trend_efficiency_20d,overnight_intraday_spread,range_breakout_20d,pv_corr_20d,down_up_vol_ratio_20d,ret_autocorr_lag2_60d,amihud_illiq_20d,momentum_252_21,ret_kurt_60d,oi_accel_3d,overnight_gap_mean_5d,volume_rel_to_60max_20d,hl_range_pct_skew_20d,carry_ma_dev_252,tsm_reversal_5d,vol_scaled_mom_60_10,oi_price_agree_20d,williams_pct_r_5d,body_streak_10d,atr_norm_20d
FU0,0.22237506098880397,0.06217791587874327,-0.11725469735598662,-0.2870622004356123,0.21645305259325795,-0.20258675211499003,-0.5102442973184269,0.03280636431956861,0.8578791720747398,-0.20423175565945842,0.05127808636196746,-0.5180360598824818,0.17519306311156096,0.21001302496728824,0.2697319857213837,-0.04364624701512626,0.35184228336679085,0.47663875918325116,0.22366672387092323,0.4118660509265343,-0.1616295068352583,0.08312716646364111,0.08227656689754985,0.1854733736592426,-0.2327636862582022,-0.22500591670867093,-0.2274826571487418
HC0,0.13027376433718788,-0.2306822473280458,-0.015886136407919683,0.7518641756713244,0.12184954160981806,0.27673216360157804,0.42938832174368463,-0.03054310499238146,0.3292956434699095,0.5140304123901187,-0.14092381662134973,0.5475367922971792,0.3769335487304324,0.2652418837873687,-0.050101270130346195,0.558261097401826,0.15254292521987997,0.37459779327305176,-0.19933141472281315,0.012702588054773808,-0.22163480054106244,0.07130856758177836,-0.3053628493159093,0.22920979453485255,0.26226619165304765,0.2693129739848172,0.5485560104434565
I0,-0.04599764725809807,-0.2299589609309496,-0.07018144994316668,-0.17379516654291605,0.13286575858974758,0.3668101348372629,-0.1649879277898024,0.2738981772419945,0.1013917279678811,0.07320026058604742,-0.5306318467572411,-0.06408423524590573,0.5543687133626297,-0.05080729567057719,-0.11310368573253395,-0.3179435556578581,1.10188921934087,0.024542452930346896,0.2086301872846764,0.3460888662306095,0.16771237873749348,-0.1903639151379251,-0.18960610194845595,-0.1528533563659095,0.34045174149922675,-0.1358908941219048,0.0949385596879686
J0,-0.03067847106074015,-0.17873802332505484,-0.20914746977674523,0.48364571478450025,-0.5087224048649547,0.25799866822037765,-0.16364367434137259,-0.07517149046219711,0.549637095505387,0.07772996080057894,0.3244676522763595,-0.4448049432084055,-0.07145929156145153,0.2684245187739309,-0.6360675409199835,-0.3637927086484372,0.409656794350484,-0.0959681020389729,-0.0151933782636962,-0.22694668868742934,0.26291374928886485,-0.24938632003904218,-0.2073482348960296,-0.2776449517001198,-0.054299615748229044,0.043071213200792206,-0.04020319066036946
JM0,0.24485866044742288,-0.12309415852367989,-0.23322318758411145,-0.12148895623368744,0.1148772739085248,0.2893914476985679,-0.49327126741424493,-0.17213412045460463,0.08203476265497724,-0.030731505599480697,0.2689134171412266,0.4305338535627138,-0.3496556272290499,0.058748683684054254,-0.41440508912019275,-0.4307699938689254,-0.02258176905929638,-0.1028278194810864,0.024741450600960724,-0.3908263059280576,-0.03160013071981437,-0.06993074930370151,-0.20554520222491507,-0.1283293252796286,-0.1510511568438647,0.3369922312093172,0.015190475566637355
L0,0.4410214385663922,0.12986320408588564,-0.16193030014114143,0.09741673867839219,0.1968942277501224,0.21457805213641107,-0.07564778957546242,0.09189814903695549,0.014942965406780693,0.12634901131281007,0.26715186048317474,1.0101213720614544,0.6438257398675205,0.012306413609991781,-0.2787721820746138,0.11898049572915408,-0.385964942926269,0.5871442244355581,-0.3027731088405005,0.586361308686886,-0.11702921417419652,0.13005474978217335,0.01530027785159551,-0.13815590541350367,-0.2938392736397635,-0.2758614280687047,0.019560828322989856
M0,-0.054690647418883354,-0.2912026180034789,-0.3758323357487486,-0.08874022635018082,0.14645359614741227,0.3975420862129497,-0.16450175129700584,-0.07085452022135985,0.3386807166731225,0.38413538557795857,0.27873550766717853,0.9968433330043871,-0.14396965593346817,0.17329060293056875,0.20059048217136483,-0.20669778987668405,0.5132468434337996,-0.17026223101357946,0.32890017906663765,0.39339388220114163,-0.11595929465670683,0.08389395832234528,-0.30462351368136187,0.023979452000349077,0.052918767841222195,-0.4169861251193293,-0.2497076879939514
MA0,0.5030370916378163,-0.11631226191256953,0.10268697442087121,0.37810865056352594,-0.4589164082407219,-0.6326615654940377,0.6875929739355702,-0.33335391825916805,0.7826501725518853,0.08373823134467087,-0.14569440465082306,3.035109494829988,0.20662184361397268,-0.32442583848915635,-0.18113550894280225,0.20591913169668552,-0.24107815637178232,0.4764272921725557,-0.6688046932021654,0.35464764565010254,-0.2806965732401794,0.1656561954189494,-0.19212872666652334,-0.16909884931508956,-0.3706661550612508,-0.2707836096364426,0.11393933431475206
NI0,0.06583631665412827,-0.5641266202591008,-0.25961294083563774,-0.0249708833779326,-0.34925110784329255,0.10266526745519931,-0.1770524084005044,-0.10112972999527642,0.40992522637588835,-0.4280198285096089,0.300042045033583,-1.4420094560194732,-0.10279146603499406,-0.0856710284071762,-0.08365489410099322,-0.27461109676472867,0.45983767608188236,-0.05957867027324768,0.20715058303910341,-0.0061673941231459245,0.05068506831022878,-0.5574227954489283,-0.6987506692575782,-0.14197725833247207,-0.758940824304673,0.5465994560615085,-0.4262496805604981
OI0,0.36024714233561733,0.07042345196597886,-0.13147789396579185,-0.27780062343411,0.4369827452781184,0.5774014658256963,0.18700326165518608,0.12944381693797744,-0.014644112092066506,0.19751562070981316,0.018259910671226037,1.1818669264424986,0.2017736596338461,0.04394764594016228,-0.0745349013150779,-0.3436327741904138,0.31781013085686066,-0.6752642159312348,-0.11076484297435647,0.24391031036298447,-0.0518855265690113,0.15195594829294626,0.1387275538708487,0.14473223024069834,0.1894355958280981,-0.5446126962388276,-0.05165840825646129
